inf {'act': [4], 'batch_size': [29.0], 'dt': [0.2030561658130635], 'hidden_dim': [676.0], 'l2reg': [1.0478066454004056], 'layers': [4.0], 'lr': [0.008484993531929658], 'lr2': [2.798408806370106e-05], 'n_updates': [6.0]}
inf {'act': [5], 'batch_size': [53.0], 'dt': [0.22524078567022315], 'hidden_dim': [370.0], 'l2reg': [0.1040335712511631], 'layers': [1.0], 'lr': [0.003483219715688627], 'lr2': [7.717461412583928e-05], 'n_updates': [5.0]}
inf {'act': [7], 'batch_size': [66.0], 'dt': [0.06766950974434205], 'hidden_dim': [541.0], 'l2reg': [0.14522317105717328], 'layers': [1.0], 'lr': [0.0067177242795291685], 'lr2': [4.924252842176689e-06], 'n_updates': [6.0]}
inf {'act': [7], 'batch_size': [35.0], 'dt': [0.061846583777656124], 'hidden_dim': [557.0], 'l2reg': [0.027092557254148414], 'layers': [1.0], 'lr': [0.0071410643937832065], 'lr2': [4.8118444972349485e-06], 'n_updates': [5.0]}
inf {'act': [4], 'batch_size': [48.0], 'dt': [0.27567313724893866], 'hidden_dim': [367.0], 'l2reg': [0.0864061917376501], 'layers': [0.0], 'lr': [0.05902807973797272], 'lr2': [1.0602864893329625e-05], 'n_updates': [6.0]}
inf {'act': [5], 'batch_size': [53.0], 'dt': [0.2577879291246102], 'hidden_dim': [357.0], 'l2reg': [0.00020491162550204125], 'layers': [1.0], 'lr': [0.0034612427375880416], 'lr2': [7.410432811059243e-05], 'n_updates': [5.0]}
inf {'act': [4], 'batch_size': [31.0], 'dt': [0.2553560945559898], 'hidden_dim': [378.0], 'l2reg': [0.08149124768006452], 'layers': [0.0], 'lr': [0.003614698740929271], 'lr2': [9.536650078484887e-05], 'n_updates': [4.0]}
inf {'act': [5], 'batch_size': [54.0], 'dt': [0.24653132272624415], 'hidden_dim': [399.0], 'l2reg': [0.07806861916555476], 'layers': [1.0], 'lr': [0.05177074629573702], 'lr2': [1.1808178464764974e-05], 'n_updates': [6.0]}
inf {'act': [4], 'batch_size': [73.0], 'dt': [0.09290662253066716], 'hidden_dim': [316.0], 'l2reg': [0.006759708665279265], 'layers': [3.0], 'lr': [0.0028065047033097707], 'lr2': [4.216956688917823e-05], 'n_updates': [6.0]}
inf {'act': [2], 'batch_size': [50.0], 'dt': [0.3964589489054024], 'hidden_dim': [12.0], 'l2reg': [1.6159064177571257e-10], 'layers': [5.0], 'lr': [2.1606416600763956e-05], 'lr2': [9.575239500910656e-05], 'n_updates': [2.0]}
inf {'act': [4], 'batch_size': [30.0], 'dt': [0.09431249697304214], 'hidden_dim': [495.0], 'l2reg': [0.5809847994623702], 'layers': [3.0], 'lr': [0.003751150144449012], 'lr2': [3.518722935914617e-05], 'n_updates': [6.0]}
inf {'act': [4], 'batch_size': [66.0], 'dt': [0.21596907483084074], 'hidden_dim': [302.0], 'l2reg': [0.012097962322269699], 'layers': [1.0], 'lr': [0.019013220067495982], 'lr2': [5.381880476757749e-06], 'n_updates': [6.0]}
inf {'act': [1], 'batch_size': [269.0], 'dt': [0.3304161670905763], 'hidden_dim': [42.0], 'l2reg': [0.0005308118850550624], 'layers': [1.0], 'lr': [3.5745127492597355e-05], 'lr2': [4.944150828201241e-06], 'n_updates': [2.0]}
inf {'act': [4], 'batch_size': [27.0], 'dt': [0.11170687033347693], 'hidden_dim': [424.0], 'l2reg': [0.4567938485589229], 'layers': [0.0], 'lr': [0.004517150274931163], 'lr2': [2.1278642584840815e-05], 'n_updates': [4.0]}
inf {'act': [7], 'batch_size': [35.0], 'dt': [0.05773416271586883], 'hidden_dim': [554.0], 'l2reg': [0.03760417981353411], 'layers': [1.0], 'lr': [0.00688089729962946], 'lr2': [5.6577220769784185e-05], 'n_updates': [4.0]}
inf {'act': [2], 'batch_size': [18.0], 'dt': [0.6233461539926909], 'hidden_dim': [12.0], 'l2reg': [0.40993157051296497], 'layers': [6.0], 'lr': [0.0042892577314552535], 'lr2': [0.0002792291185237654], 'n_updates': [2.0]}
inf {'act': [7], 'batch_size': [34.0], 'dt': [0.06368202873868116], 'hidden_dim': [555.0], 'l2reg': [0.03168244755453755], 'layers': [1.0], 'lr': [0.006944624029768597], 'lr2': [5.696218842431586e-05], 'n_updates': [6.0]}
inf {'act': [5], 'batch_size': [53.0], 'dt': [0.22384595368722154], 'hidden_dim': [409.0], 'l2reg': [0.00016174158381967457], 'layers': [1.0], 'lr': [0.0037067387230311794], 'lr2': [1.190452591485415e-05], 'n_updates': [5.0]}
inf {'act': [4], 'batch_size': [23.0], 'dt': [0.12325994304123734], 'hidden_dim': [633.0], 'l2reg': [0.0006647284299215278], 'layers': [1.0], 'lr': [0.010469662094237296], 'lr2': [3.703600529377675e-05], 'n_updates': [4.0]}
inf {'act': [4], 'batch_size': [31.0], 'dt': [0.24068653802275897], 'hidden_dim': [385.0], 'l2reg': [0.059747774005458505], 'layers': [0.0], 'lr': [0.003581553070820509], 'lr2': [8.599166743707034e-05], 'n_updates': [4.0]}
inf {'act': [4], 'batch_size': [30.0], 'dt': [0.08571036199573866], 'hidden_dim': [635.0], 'l2reg': [0.0006049009456515852], 'layers': [1.0], 'lr': [0.09967839595509219], 'lr2': [4.469854732747006e-05], 'n_updates': [6.0]}
inf {'act': [7], 'batch_size': [35.0], 'dt': [0.0600001487031755], 'hidden_dim': [568.0], 'l2reg': [4.997666903007382], 'layers': [1.0], 'lr': [0.006918479335203403], 'lr2': [5.099494949535087e-05], 'n_updates': [4.0]}
inf {'act': [4], 'batch_size': [66.0], 'dt': [0.23437922501339267], 'hidden_dim': [301.0], 'l2reg': [0.0062773489726710326], 'layers': [1.0], 'lr': [0.022743870234640962], 'lr2': [6.782262556929138e-06], 'n_updates': [6.0]}
inf {'act': [5], 'batch_size': [32.0], 'dt': [0.2614315293356069], 'hidden_dim': [415.0], 'l2reg': [0.08982800488830289], 'layers': [1.0], 'lr': [0.003957297414510946], 'lr2': [1.188035949396048e-05], 'n_updates': [5.0]}
inf {'act': [4], 'batch_size': [55.0], 'dt': [0.28299098220023594], 'hidden_dim': [382.0], 'l2reg': [0.00016777892301005336], 'layers': [1.0], 'lr': [0.0032094930117331183], 'lr2': [1.0547847485417067e-05], 'n_updates': [5.0]}
inf {'act': [5], 'batch_size': [54.0], 'dt': [0.2226309709783997], 'hidden_dim': [365.0], 'l2reg': [0.09105582345374391], 'layers': [0.0], 'lr': [0.005207905397104489], 'lr2': [7.225772219248322e-05], 'n_updates': [6.0]}
inf {'act': [4], 'batch_size': [26.0], 'dt': [0.10223232165166111], 'hidden_dim': [513.0], 'l2reg': [1.9347073351866715e-05], 'layers': [4.0], 'lr': [0.0011344046189732608], 'lr2': [3.0155187660811446e-05], 'n_updates': [4.0]}
inf {'act': [2], 'batch_size': [24.0], 'dt': [0.897289144367332], 'hidden_dim': [29.0], 'l2reg': [0.128941065494553], 'layers': [4.0], 'lr': [0.006272088099618076], 'lr2': [7.954838517763198e-05], 'n_updates': [4.0]}
inf {'act': [7], 'batch_size': [121.0], 'dt': [0.05788979135310188], 'hidden_dim': [511.0], 'l2reg': [0.12151567594699778], 'layers': [1.0], 'lr': [0.053393050982864565], 'lr2': [4.5269134920923385e-06], 'n_updates': [6.0]}
inf {'act': [5], 'batch_size': [52.0], 'dt': [0.25281645969153016], 'hidden_dim': [373.0], 'l2reg': [0.1293216388229474], 'layers': [0.0], 'lr': [0.0035956045906641804], 'lr2': [8.515074148336976e-05], 'n_updates': [6.0]}
inf {'act': [4], 'batch_size': [59.0], 'dt': [0.5992600337192405], 'hidden_dim': [242.0], 'l2reg': [0.005046215841149297], 'layers': [1.0], 'lr': [0.013901121178725941], 'lr2': [6.52455109796498e-06], 'n_updates': [6.0]}
inf {'act': [4], 'batch_size': [26.0], 'dt': [0.17285282203692579], 'hidden_dim': [729.0], 'l2reg': [2.9782678523701973], 'layers': [4.0], 'lr': [0.017104878816762776], 'lr2': [2.6291917634804585e-05], 'n_updates': [6.0]}
inf {'act': [4], 'batch_size': [35.0], 'dt': [0.18367597319009188], 'hidden_dim': [705.0], 'l2reg': [0.0015836025005371538], 'layers': [1.0], 'lr': [0.0026402479860794946], 'lr2': [4.730653809266885e-05], 'n_updates': [6.0]}
inf {'act': [4], 'batch_size': [26.0], 'dt': [0.16126441402694233], 'hidden_dim': [293.0], 'l2reg': [0.01226519122669686], 'layers': [1.0], 'lr': [0.014238484109634079], 'lr2': [2.3229833773673514e-05], 'n_updates': [6.0]}
inf {'act': [5], 'batch_size': [56.0], 'dt': [0.24232667999714774], 'hidden_dim': [384.0], 'l2reg': [0.09475954560323342], 'layers': [0.0], 'lr': [0.059609021064074064], 'lr2': [9.716002814760276e-06], 'n_updates': [6.0]}
inf {'act': [7], 'batch_size': [33.0], 'dt': [0.059405388304726234], 'hidden_dim': [543.0], 'l2reg': [0.04559967810272929], 'layers': [0.0], 'lr': [0.006583848828106231], 'lr2': [5.415357432086852e-05], 'n_updates': [4.0]}
inf {'act': [4], 'batch_size': [55.0], 'dt': [0.2762454775431392], 'hidden_dim': [382.0], 'l2reg': [0.00019051043896793472], 'layers': [1.0], 'lr': [0.003532439879303685], 'lr2': [7.999031730219178e-05], 'n_updates': [5.0]}
inf {'act': [5], 'batch_size': [49.0], 'dt': [0.26682801495605357], 'hidden_dim': [393.0], 'l2reg': [0.05948725539353638], 'layers': [0.0], 'lr': [0.058862397273541464], 'lr2': [1.0063712598189607e-05], 'n_updates': [5.0]}
inf {'act': [4], 'batch_size': [32.0], 'dt': [0.24375581736342566], 'hidden_dim': [387.0], 'l2reg': [0.0001599235951204987], 'layers': [1.0], 'lr': [0.0044600907419171], 'lr2': [9.509015754978443e-06], 'n_updates': [6.0]}
inf {'act': [4], 'batch_size': [31.0], 'dt': [0.22392413100220565], 'hidden_dim': [402.0], 'l2reg': [0.07220226227026333], 'layers': [0.0], 'lr': [0.003374707595938086], 'lr2': [7.302339194351381e-05], 'n_updates': [4.0]}
inf {'act': [5], 'batch_size': [53.0], 'dt': [0.2726000258214085], 'hidden_dim': [365.0], 'l2reg': [0.07276097307439659], 'layers': [0.0], 'lr': [0.06042940338091533], 'lr2': [1.0924312376950017e-05], 'n_updates': [6.0]}
inf {'act': [4], 'batch_size': [38.0], 'dt': [0.08934984894513426], 'hidden_dim': [434.0], 'l2reg': [0.008061306189134079], 'layers': [4.0], 'lr': [0.024286776969759342], 'lr2': [7.719975216005052e-06], 'n_updates': [6.0]}
inf {'act': [1], 'batch_size': [41.0], 'dt': [0.009543734638236087], 'hidden_dim': [71.0], 'l2reg': [2.0822125249980905e-12], 'layers': [2.0], 'lr': [0.0004506371997701607], 'lr2': [3.4111606786016584e-06], 'n_updates': [6.0]}
inf {'act': [5], 'batch_size': [22.0], 'dt': [0.28100788806804494], 'hidden_dim': [399.0], 'l2reg': [0.07835726437733377], 'layers': [0.0], 'lr': [0.003690306989199377], 'lr2': [6.655790208307342e-05], 'n_updates': [4.0]}
inf {'act': [5], 'batch_size': [52.0], 'dt': [0.24282227852864977], 'hidden_dim': [369.0], 'l2reg': [0.08561760110561925], 'layers': [0.0], 'lr': [0.003763007228656318], 'lr2': [1.870061512241448e-05], 'n_updates': [4.0]}
inf {'act': [1], 'batch_size': [321.0], 'dt': [0.3486546114447882], 'hidden_dim': [75.0], 'l2reg': [0.000866563666992543], 'layers': [1.0], 'lr': [3.992308392852215e-05], 'lr2': [1.603682233589334e-07], 'n_updates': [1.0]}
inf {'act': [0], 'batch_size': [165.0], 'dt': [1.3050139796467723], 'hidden_dim': [119.0], 'l2reg': [0.0001170383600261124], 'layers': [5.0], 'lr': [0.08898289066684631], 'lr2': [1.6591563249892467e-05], 'n_updates': [3.0]}
inf {'act': [0], 'batch_size': [80.0], 'dt': [1.1296660427337883], 'hidden_dim': [64.0], 'l2reg': [2.209186617473882e-07], 'layers': [1.0], 'lr': [1.1193057181239701e-05], 'lr2': [6.5802237135042735e-06], 'n_updates': [3.0]}
inf {'act': [0], 'batch_size': [49.0], 'dt': [0.7269065423784632], 'hidden_dim': [14.0], 'l2reg': [1.9715518771678844e-05], 'layers': [2.0], 'lr': [0.00016682093057877978], 'lr2': [1.0258616229978108e-07], 'n_updates': [1.0]}
inf {'act': [2], 'batch_size': [187.0], 'dt': [0.6723205016354853], 'hidden_dim': [117.0], 'l2reg': [0.00010736385180231376], 'layers': [5.0], 'lr': [0.00021481182429105027], 'lr2': [2.131507809993654e-06], 'n_updates': [2.0]}
inf {'act': [1], 'batch_size': [107.0], 'dt': [0.39208419977569625], 'hidden_dim': [134.0], 'l2reg': [0.0011437847722383728], 'layers': [1.0], 'lr': [0.0012113394135993096], 'lr2': [4.654030365601508e-06], 'n_updates': [2.0]}
inf {'act': [4], 'batch_size': [32.0], 'dt': [0.10283712875939956], 'hidden_dim': [599.0], 'l2reg': [0.19873223444197546], 'layers': [4.0], 'lr': [0.004218623019859924], 'lr2': [1.3571842661443103e-05], 'n_updates': [6.0]}
inf {'act': [7], 'batch_size': [35.0], 'dt': [0.06009050003002074], 'hidden_dim': [567.0], 'l2reg': [3.2793615525357045], 'layers': [0.0], 'lr': [0.006618071025861383], 'lr2': [5.3603542577822374e-05], 'n_updates': [4.0]}
inf {'act': [4], 'batch_size': [24.0], 'dt': [0.16314733103355827], 'hidden_dim': [713.0], 'l2reg': [1.748288638290186], 'layers': [3.0], 'lr': [0.0029299108527242896], 'lr2': [2.5313834798270288e-05], 'n_updates': [6.0]}
inf {'act': [1], 'batch_size': [44.0], 'dt': [0.18663510969817612], 'hidden_dim': [322.0], 'l2reg': [0.009579301768562698], 'layers': [1.0], 'lr': [0.00015061028130109458], 'lr2': [0.0001781664919214417], 'n_updates': [5.0]}
inf {'act': [7], 'batch_size': [64.0], 'dt': [0.05336584101773918], 'hidden_dim': [581.0], 'l2reg': [0.03745327253786496], 'layers': [1.0], 'lr': [0.006913879931049133], 'lr2': [6.30101633249521e-05], 'n_updates': [6.0]}
inf {'act': [1], 'batch_size': [268.0], 'dt': [1.5679195379907092], 'hidden_dim': [40.0], 'l2reg': [0.0009819371864595774], 'layers': [1.0], 'lr': [0.006445323881046767], 'lr2': [4.281533889691512e-06], 'n_updates': [2.0]}
inf {'act': [4], 'batch_size': [25.0], 'dt': [0.14519162787336692], 'hidden_dim': [698.0], 'l2reg': [2.7206741120280413], 'layers': [4.0], 'lr': [0.0009301951154801869], 'lr2': [2.5353397119872023e-05], 'n_updates': [6.0]}
inf {'act': [5], 'batch_size': [52.0], 'dt': [0.2394955640495154], 'hidden_dim': [371.0], 'l2reg': [0.0001422537532836371], 'layers': [0.0], 'lr': [0.004149490688719851], 'lr2': [0.00010065706037912598], 'n_updates': [6.0]}
inf {'act': [2], 'batch_size': [901.0], 'dt': [0.0547678323674421], 'hidden_dim': [40.0], 'l2reg': [1.6463349220595943e-11], 'layers': [0.0], 'lr': [1.9407273486487128e-05], 'lr2': [1.036038208795331e-05], 'n_updates': [3.0]}
